kinase	kinase_group	foreground_set_hits	foreground_set_size	background_set_hits	background_set_size	enrichment_value	enrichment_value_log2	p_value	adjusted_p_value	p_value_log10_abs	adjusted_p_value_log10_abs
DYRK1B	CMGC	1	29	408	6188	0.5229885057471264	-0.9351488556500321	0.8616679200871784	1.0000000000188458	0.06466007554515664	8.184632939547247e-12
DSTYK	TKL	1	29	416	6188	0.5129310344827587	-0.9631632318196285	0.8671011920854557	1.0000000000188458	0.061930216710786246	8.184632939547247e-12
PLK3	Other	1	29	421	6188	0.5068392169710869	-0.9803999367449325	0.8703917267867236	1.0000000000188458	0.06028524566513884	8.184632939547247e-12
MEKK2	STE	1	29	429	6188	0.4973876698014629	-1.0075573511780822	0.8754935806617298	1.0000000000188458	0.05774703392480569	8.184632939547247e-12
PLK2	Other	1	29	437	6188	0.48828217470212265	-1.0342129831791347	0.880401267631428	1.0000000000188458	0.05531934080640212	8.184632939547247e-12
GRK2	AGC	1	29	447	6188	0.4773586361181826	-1.066854534861854	0.8862736753210183	1.0000000000188458	0.052432150202174344	8.184632939547247e-12
GRK5	AGC	1	29	450	6188	0.47417624521072793	-1.0765047048955738	0.8879804243531749	1.0000000000188458	0.0515966081956158	8.184632939547247e-12
DYRK4	CMGC	1	29	467	6188	0.456915011445027	-1.1300022533881982	0.8971946667738672	1.0000000000188458	0.047113316673515176	8.184632939547247e-12
CAMKK2	Other	1	29	470	6188	0.4539985326485694	-1.139240460243536	0.8987428601022095	1.0000000000188458	0.04636454676820276	8.184632939547247e-12
CK1G2	CK1	1	29	484	6188	0.4408663436876603	-1.181586750953131	0.905675024724021	1.0000000000188458	0.04302760837968201	8.184632939547247e-12
VRK2	CK1	1	29	485	6188	0.43995734091717026	-1.1845644507530266	0.9061522446014978	1.0000000000188458	0.042798829436187416	8.184632939547247e-12
BRAF	TKL	1	29	505	6188	0.42253328781153976	-1.2428630913176937	0.9152213327432238	1.0000000000188458	0.038473865534562245	8.184632939547247e-12
IRAK1	TKL	1	29	513	6188	0.4159440747462526	-1.2655385292855905	0.9186067740203383	1.0000000000188458	0.03687035631760982	8.184632939547247e-12
BMPR2	TKL	1	29	516	6188	0.41352579524191396	-1.2739507691017906	0.9198423505346784	1.0000000000188458	0.03628659891494669	8.184632939547247e-12
MEK1	STE	1	29	527	6188	0.40489432703003336	-1.304382665315751	0.924219716547105	1.0000000000188458	0.0342247708354122	8.184632939547247e-12
CAMK2G	CAMK	1	29	561	6188	0.38035527690700105	-1.3945804742873293	0.9363390900893334	1.0000000000188458	0.028566845400947775	8.184632939547247e-12
FAM20C	FAM20	1	29	612	6188	0.3486590038314176	-1.520111356371188	0.9510798111469696	1.0000000000188458	0.02178303712531206	8.184632939547247e-12
ASK1	STE	1	29	630	6188	0.33869731800766284	-1.5619315320658154	0.9554479461624117	1.0000000000188458	0.019792968797596157	8.184632939547247e-12
ALK2	TKL	1	29	635	6188	0.33603040999185446	-1.5733362953380647	0.9565928774827548	1.0000000000188458	0.019272857084640722	8.184632939547247e-12
VRK1	CK1	1	29	716	6188	0.29801579657098826	-1.746539290942793	0.9716231979149159	1.0000000000188458	0.012502124778630498	8.184632939547247e-12
TAK1	TKL	0	29	608	6188	0.17547640653357532	-2.510651027122122	0.9999999999498911	1.0000000000188458	2.1762026154626595e-11	8.184632939547247e-12
CK2A1	Other	0	29	610	6188	0.17490107405313737	-2.515388946128785	0.9999999999506851	1.0000000000188458	2.1417182652569995e-11	8.184632939547247e-12
BMPR1B	TKL	0	29	631	6188	0.1690802776107984	-2.5642197086610854	0.9999999999630755	1.0000000000188458	1.603609073985064e-11	8.184632939547247e-12
CK2A2	Other	0	29	611	6188	0.17461482024944974	-2.517752083497266	0.9999999999636676	1.0000000000188458	1.5778952820884788e-11	8.184632939547247e-12
ALK4	TKL	0	29	535	6188	0.19941991621011923	-2.326118594967046	0.999999999968357	1.0000000000188458	1.3742389644201681e-11	8.184632939547247e-12
NEK8	Other	0	29	273	6188	0.3908045977011494	-1.355480654598389	0.9999999999714397	1.0000000000188458	1.2403565605972125e-11	8.184632939547247e-12
SRPK2	CMGC	0	29	277	6188	0.38516121000871406	-1.3764656797277248	0.9999999999723401	1.0000000000188458	1.2012530818273775e-11	8.184632939547247e-12
SRPK3	CMGC	0	29	274	6188	0.3893783035489554	-1.3607555966390632	0.9999999999729734	1.0000000000188458	1.1737504624805257e-11	8.184632939547247e-12
PKN1	AGC	0	29	105	6188	1.0160919540229885	0.02303096865534086	0.9999999999734577	1.0000000000188458	1.1527184804344352e-11	8.184632939547247e-12
MEKK3	STE	0	29	356	6188	0.2996900426191399	-1.7384569446449343	0.9999999999749727	1.0000000000188458	1.0869224173898078e-11	8.184632939547247e-12
HUNK	CAMK	0	29	398	6188	0.2680644602321955	-1.8993481342221854	0.9999999999752045	1.0000000000188458	1.0768548386387408e-11	8.184632939547247e-12
PKR	Other	0	29	398	6188	0.2680644602321955	-1.8993481342221854	0.9999999999752045	1.0000000000188458	1.0768548386387408e-11	8.184632939547247e-12
GSK3A	CMGC	0	29	357	6188	0.29885057471264365	-1.7425037777076364	0.999999999976334	1.0000000000188458	1.0277995004139864e-11	8.184632939547247e-12
IRE2	Other	0	29	357	6188	0.29885057471264365	-1.7425037777076364	0.999999999976334	1.0000000000188458	1.0277995004139864e-11	8.184632939547247e-12
EEF2K	Alpha	0	29	516	6188	0.20676289762095698	-2.273950769101791	0.9999999999783719	1.0000000000188458	9.392983471690541e-12	8.184632939547247e-12
CDK8	CMGC	0	29	397	6188	0.26873968557283073	-1.8957187108214941	0.9999999999787293	1.0000000000188458	9.237726749572133e-12	8.184632939547247e-12
CK1G3	CK1	0	29	464	6188	0.2299346016646849	-2.1207045088061087	0.9999999999787332	1.0000000000188458	9.236039176505628e-12	8.184632939547247e-12
